date,symbol,marketcapname,sector
19-06-2024,ZUARIIND,Smallcap,FMCG
20-06-2024,SILINV,Smallcap,Finance
20-06-2024,PKTEA,Smallcap,FMCG
20-06-2024,REMSONSIND,Smallcap,Auto
20-06-2024,OMAXE,Smallcap,Realty
20-06-2024,QUICKHEAL,Smallcap,I.T
21-06-2024,KSL,Smallcap,Metals
21-06-2024,THOMASCOTT,Smallcap,FMCG
21-06-2024,NAVKARCORP,Smallcap,Services
24-06-2024,TTL,Smallcap,Textiles
24-06-2024,SASKEN,Smallcap,I.T
25-06-2024,NBIFIN,Smallcap,Finance
25-06-2024,NEULANDLAB,Midcap,Pharmaceuticals
26-06-2024,DRREDDY,Largecap,Pharmaceuticals
26-06-2024,SHANTIGEAR,Smallcap,FMCG
27-06-2024,DHUNINV,Smallcap,Finance
28-06-2024,KPIGREEN,Midcap,Miscellaneous
01-07-2024,KEYFINSERV,Smallcap,Finance
01-07-2024,SUVEN,Smallcap,Pharmaceuticals
01-07-2024,KAUSHALYA,Smallcap,Services
02-07-2024,SUNPHARMA,Largecap,Pharmaceuticals
02-07-2024,JKTYRE,Midcap,Auto
04-07-2024,AGI,Smallcap,Services
04-07-2024,LUPIN,Largecap,Pharmaceuticals
04-07-2024,INOXWIND,Largecap,FMCG
08-07-2024,ITC,Largecap,FMCG
09-07-2024,POWERMECH,Midcap,Realty
15-07-2024,IDBI,Largecap,Bank
24-07-2024,MONARCH,Smallcap,Services
24-07-2024,JASH,Smallcap,FMCG
25-07-2024,AJANTPHARM,Largecap,Pharmaceuticals
29-07-2024,ESTER,Smallcap,Services
29-07-2024,TTKHLTCARE,Smallcap,Miscellaneous
30-07-2024,FORCEMOT,Midcap,Auto
30-07-2024,TATAPOWER,Largecap,Miscellaneous
30-07-2024,MOTILALOFS,Largecap,Services
31-07-2024,UNICHEMLAB,Midcap,Pharmaceuticals
31-07-2024,WEBELSOLAR,Midcap,FMCG
06-08-2024,ARCHIDPLY,Smallcap,Plywood Boards/Laminates
08-08-2024,MAHASTEEL,Smallcap,Metals
08-08-2024,MAHAPEXLTD,Smallcap,Finance
08-08-2024,WIPL,Smallcap,Plywood Boards/Laminates
09-08-2024,EDELWEISS,Midcap,Finance
12-08-2024,PANACEABIO,Smallcap,Pharmaceuticals
13-08-2024,UNIVASTU,Smallcap,Realty
13-08-2024,ANUP,Midcap,Industrials
19-08-2024,TVSSRICHAK,Smallcap,Auto
19-08-2024,SHRIPISTON,Midcap,Auto
19-08-2024,DPABHUSHAN,Smallcap,Miscellaneous
19-08-2024,INDOSTAR,Smallcap,Finance
19-08-2024,TEMBO,Smallcap,Services
19-08-2024,POLYMED,Largecap,Pharmaceuticals
19-08-2024,RBL,Smallcap,Auto
20-08-2024,KEI,Largecap,Industrials
