Stock,Date,Identified Price,Week Day 1 Close,Week Day 2 Close,Week Day 3 Close,Week Day 4 Close,Week Day 5 Close,Week Day 6 Close,Week Day 7 Close,1 Month Close Price,3 Month Close Price,1 Week Return (%),1 Month Return (%),3 Month Return (%)
ZUARIIND,6/18/2024,327.7923584,327.7923584,337.315979,358.4574585,345.34375,391.9646606,391.9646606,391.9646606,384.1363525,374.1141052,19.57711966,17.18892851,14.13142974
SILINV,6/19/2024,498.9101257,498.9101257,536.4415894,532.3101807,558.4428711,558.4428711,558.4428711,563.9182739,579.7471924,568.5499878,13.03003183,16.20273121,13.95839821
PKTEA,6/19/2024,333.8089905,333.8089905,343.6855774,412.422699,494.8773193,494.8773193,494.8773193,486.946106,396.6600647,428.9834595,45.87567137,18.8284546,28.51165538
REMSONSIND,6/19/2024,202.3450928,202.3450928,203.0040741,204.6814575,206.6184387,206.6184387,206.6184387,205.0209198,199.0901489,193.6100006,1.32240767,-1.608610223,-4.316928097
OMAXE,6/19/2024,96.12000275,96.12000275,105.7300034,109.3000031,119,119,119,115.0599976,128.6900024,114.6399994,19.70453004,33.88472614,19.26757815
QUICKHEAL,6/19/2024,496.4698486,496.4698486,541.0784912,529.5280151,526.0927124,526.0927124,526.0927124,516.6333008,605.6016235,691.8499756,4.061364895,21.98155139,39.35387567
KSL,6/20/2024,836.6199951,836.6199951,893.5893555,922.567688,922.567688,922.567688,914.520874,905.9804077,907.4614258,840,8.290551625,8.467575611,0.404007184
THOMASCOTT,6/20/2024,292,292,297.7999878,292.2000122,292.2000122,292.2000122,286.3500061,280.7000122,249.4499969,242,-3.869858833,-14.57191885,-17.12328767
NAVKARCORP,6/20/2024,102.3399963,102.3399963,114.6200027,116.4100037,116.4100037,116.4100037,112.9599991,110.2900009,128.9900055,139.7700043,7.768228319,26.0406587,36.57417361
TTL,6/23/2024,117.3799973,117.3799973,117.3799973,116.1600037,117.9100037,115.1800003,115.8099976,113.0699997,114.2900009,119.8499985,,,
SASKEN,6/23/2024,1571.44751,1571.44751,1571.44751,1556.517944,1625.696411,1742.866455,1759.372681,1823.13147,1623.479126,1475.558716,,,
NBIFIN,6/24/2024,1846.360962,1846.360962,1943.040527,2169.442871,2076.612549,2329.059326,2508.771484,2508.771484,2249.076172,2435,35.87654506,21.81129358,31.8810379
NEULANDLAB,6/24/2024,6693.26709,6693.26709,7329.365723,7255.244141,7518.638184,7471.969238,7704.316895,7704.316895,8054.049805,12771.09961,15.10547527,20.33062026,90.8051694
DRREDDY,6/25/2024,1208.523438,1208.523438,1206.863281,1239.838013,1272.932007,1263.259277,1263.259277,1263.259277,1364.030029,1310.22998,4.529150048,12.86748663,8.415769179
SHANTIGEAR,6/25/2024,563.1959229,563.1959229,572.4678955,573.5645142,588.9180908,607.1629028,607.1629028,607.1629028,651.8499756,609.2999878,7.806693585,15.74124548,8.186150338
DHUNINV,6/26/2024,1216.6521,1216.6521,1242.059448,1348.230713,1417.763672,1417.763672,1417.763672,1420.958252,1285.037109,2326.350098,16.79248755,5.620753031,91.20914667
KPIGREEN,6/27/2024,572.4475708,572.4475708,601.0540771,593.7109375,593.7109375,593.7109375,587.2670288,599.2058105,643.197998,569.8081055,4.674356415,12.35928509,-0.461084205
KEYFINSERV,6/30/2024,173.842392,173.842392,173.842392,172.9458466,181.1045227,190.1597443,189.6417236,189.5919342,281.190155,259.25,,,
SUVEN,6/30/2024,109.1299973,109.1299973,109.1299973,106.3099976,106.1800003,115.8499985,127.4300003,139.8099976,140.5599976,143.1000061,,,
KAUSHALYA,6/30/2024,792.2000122,792.2000122,792.2000122,826.7000122,872.4500122,873.0499878,873.0499878,960.2000122,1020.5,930,,,
SUNPHARMA,7/1/2024,1515.2948,1515.2948,1519.232422,1529.101074,1552.975342,1563.442139,1551.480103,1551.480103,1701.599976,1948.699951,2.388004152,12.29497889,28.60203516
JKTYRE,7/1/2024,442.2392883,442.2392883,450.0762329,449.5802002,456.7226868,453.1514282,451.5146179,451.5146179,446.2000122,433.3999939,2.097355399,0.895606515,-1.998758289
AGI,7/3/2024,766.225769,766.225769,851.4834595,918.7058105,884.0761108,884.0761108,884.0761108,877.9649658,767.0704346,960.4500122,14.58306433,0.11023716,25.34817426
LUPIN,7/3/2024,1623.482422,1623.482422,1751.620605,1762.473022,1771.135132,1771.135132,1771.135132,1806.828613,1953.349976,2191.100098,11.29338938,20.31851711,34.96297023
INOXWIND,7/3/2024,142.4799957,142.4799957,157.0099945,158.8000031,158.1499939,158.1499939,158.1499939,159.0099945,178.0200043,237.4799957,11.60162779,24.94385851,66.6760267
ITC,7/7/2024,443.6000061,443.6000061,443.6000061,452.6000061,451.4500122,458.6499939,459.0499878,463.3999939,486,503.5499878,,,
POWERMECH,7/8/2024,2425.913574,2425.913574,2559.505371,2624.989502,2753.709473,2890.723877,2922.62915,2922.62915,2768.75,3121.75,20.47540281,14.1322605,28.68347963
IDBI,7/14/2024,89.98000336,89.98000336,89.98000336,87.87999725,,92.19999695,88.86000061,89.58999634,95.79000092,83.27999878,,,
MONARCH,7/23/2024,272.8629761,272.8629761,292.2588196,302.8043518,306.1201172,327.4854431,327.4854431,327.4854431,392.7250061,435.5,20.01827724,43.92755359,59.60391779
JASH,7/23/2024,429.6902161,429.6902161,460.0684204,479.0780945,473.9740906,504.4899292,504.4899292,504.4899292,446.2511902,518.6300049,17.4078232,3.854165979,20.69858365
AJANTPHARM,7/24/2024,2363.241699,2363.241699,2377.264648,2380.039307,2396.787354,2396.787354,2396.787354,2507.779541,3094.997559,3112.042725,6.116083761,30.96407192,31.68533399
ESTER,7/28/2024,138.9299927,138.9299927,138.9299927,143.4799957,143.6900024,150.6199951,143.9499969,139.1100006,154.8800049,140.2200012,,,
TTKHLTCARE,7/28/2024,1550.550049,1550.550049,1550.550049,1550.599976,1559.949951,1609.550049,1636.199951,1579.550049,1612.349976,1554.5,,,
FORCEMOT,7/29/2024,8742.984375,8742.984375,9464.208984,9222.686523,9159.787109,9030.34668,8502.410156,8502.410156,8360.150391,6209.5,-2.751625857,-4.37875636,-28.97734076
TATAPOWER,7/29/2024,442.25,442.25,444.1000061,453.6000061,464.3999939,460.3500061,434.7999878,434.7999878,428.1499939,422.1000061,-1.684570313,-3.188243325,-4.556245087
MOTILALOFS,7/29/2024,602.0027466,602.0027466,633.7053833,653.3520508,648.3411865,652.2605591,609.8911743,609.8911743,749.3034058,865.2486572,1.310364077,24.4684364,43.72835708
UNICHEMLAB,7/30/2024,540.0999756,540.0999756,568.5,568.9000244,580.5,560.3499756,560.3499756,560.3499756,576.5,765.5999756,3.749305854,6.739497511,41.75152938
WEBELSOLAR,7/30/2024,607.7000122,607.7000122,622.5499878,596.5,606,636.2999878,636.2999878,636.2999878,980.75,1242.050049,4.706265429,61.38719439,104.3853915
ARCHIDPLY,8/5/2024,121.4100037,121.4100037,140.6699982,136.7299957,139.2799988,139.8200073,140.3600006,140.3600006,134.3099976,125.1100006,15.60826652,10.62514909,3.04752231
MAHASTEEL,8/7/2024,107.6600037,107.6600037,110.7399979,117.0199966,119.25,119.25,119.25,118.8700027,183.6600037,221.0500031,10.41240823,70.59260395,105.3223068
MAHAPEXLTD,8/7/2024,152.6600037,152.6600037,171.8899994,173.2100067,168.2799988,168.2799988,168.2799988,169.0399933,172.5700073,154.3200073,10.72971913,13.04205632,1.087386101
WIPL,8/7/2024,166.6959534,166.6959534,174.0615997,179.4491425,189.7968292,189.7968292,189.7968292,227.74823,212.7783966,193.7299957,36.62493023,27.64460823,16.21757566
EDELWEISS,8/8/2024,70.47901917,70.47901917,80.47260284,78.9701004,78.9701004,78.9701004,75.6883316,84.78239441,116.8587494,109.1500015,20.29451518,65.80643541,54.86878623
PANACEABIO,8/11/2024,161.1699982,161.1699982,161.1699982,158.1499939,164.3200073,,164.8699951,181.3399963,270.5100098,357.5,,,
UNIVASTU,8/12/2024,193.3000031,193.3000031,197.0599976,216.6900024,,228.1399994,228.0299988,228.0299988,182.8800049,238.8500061,17.96688835,-5.390583551,23.56440886
ANUP,8/12/2024,1855.800049,1855.800049,1889.449951,1903.400024,,1896.150024,1936.050049,1936.050049,2283.699951,3561.949951,4.32428052,23.05743567,91.93608457
TVSSRICHAK,8/18/2024,4328.787109,4328.787109,4328.787109,4328.88623,4683.060547,4712.806152,4710.578613,4765.516602,4427.149902,3576.449951,,,
SHRIPISTON,8/18/2024,2004.900024,2004.900024,2004.900024,2013.599976,2019,2084.300049,2111.300049,2104.25,2334.600098,2026.650024,,,
DPABHUSHAN,8/18/2024,1296.949951,1296.949951,1296.949951,1321.550049,1357.300049,1366.050049,1361.300049,1367.300049,1665.349976,1643.849976,,,
INDOSTAR,8/18/2024,257,257,257,281.8999939,287.8500061,279.6000061,279,281.25,284.2999878,260.1000061,,,
TEMBO,8/18/2024,250.7661896,250.7661896,250.7661896,263.0371399,267.696106,271.646759,265.5611572,286.0227356,440.0579529,687.7999878,,,
POLYMED,8/18/2024,2123.701416,2123.701416,2123.701416,2191.769531,2180.483398,2147.073242,2210.49707,2325.908691,2446.414307,2701.100098,,,
RBL,8/18/2024,1000.599976,1000.599976,1000.599976,998.5,1198.199951,1313.400024,1335.25,1256.25,1226.050049,921.75,,,
KEI,8/19/2024,4363.243164,4363.243164,4704.571777,4669.654297,4696.279785,4628.843262,4542.574219,4542.574219,4420.938965,3808.365234,4.110040352,1.322314586,-12.71709847
KIRLOSENG,8/19/2024,1275.25,1275.25,1352,1369.75,1327.400024,1323.849976,1295.599976,1295.599976,1286.199951,1137.400024,1.595763622,0.858651337,-10.80964325
VEDL,8/20/2024,419.5665283,419.5665283,427.6920166,431.6843262,422.0558472,435.0190735,435.0190735,435.0190735,440.2472534,425.6148987,3.682978532,4.929069337,1.441575996
PALASHSECU,8/20/2024,134.8300018,134.8300018,153.3399963,151.1000061,149.1799927,144.9499969,144.9499969,144.9499969,142.0299988,157.3899994,7.505744256,5.340055515,16.73217923
HGINFRA,8/20/2024,1582.699951,1582.699951,1621.5,1596.650024,1588.949951,1575.199951,1575.199951,1575.199951,1570.599976,1226.25,-0.473873775,-0.764514814,-22.52163784
AEGISLOG,8/21/2024,798.5,798.5,809.0499878,797.7000122,773.2999878,773.2999878,773.2999878,,769.9000244,842.9000244,,-3.581712659,5.560428856
ICIL,8/21/2024,385.5499878,385.5499878,409.0499878,415.7999878,407.7000122,407.7000122,407.7000122,422.5499878,387.8999939,312.7000122,9.596680371,0.609520472,-18.89507921
SHRIRAMPPS,8/21/2024,124.3700027,124.3700027,126.6900024,134.6000061,132.2700043,132.2700043,132.2700043,129.8600006,128.5399933,98.91000366,4.414245994,3.352890928,-20.47117353
PRECAM,8/21/2024,200.7799988,200.7799988,236.75,244.1399994,249.2400055,249.2400055,249.2400055,264.8800049,245.5399933,302.8500061,31.92549382,22.29305448,50.83674068
ALBERTDAVD,8/22/2024,1272.400024,1272.400024,1447.949951,1537.199951,1537.199951,1537.199951,1558.449951,1554.75,1493.599976,1285.199951,22.1903466,17.38446612,1.005967189
RADICO,8/22/2024,1765.25,1765.25,1844.449951,1832.650024,1832.650024,1832.650024,1807.900024,1834.949951,2129.800049,2256.199951,3.948446462,20.65146856,27.81192189
INDOTHAI,8/22/2024,331.9068909,331.9068909,348.492218,365.8768921,365.8768921,365.8768921,378.1660461,397.0493469,685,1050,19.626726,106.3831812,216.3537814
BANKBEES,8/25/2024,524.4899902,524.4899902,524.4899902,525.9199829,524.8400269,524.789978,526.7299805,527.4099731,556.5700073,524.9199829,,,
HINDALCO,8/25/2024,711.8499756,711.8499756,711.8499756,703.5,705.0499878,700.5,701.3499756,683.9000244,690.5499878,652.0999756,,,
AXISBNKETF,8/25/2024,521.7800293,521.7800293,521.7800293,522.9000244,523.1300049,523.1300049,525.5499878,524.4400024,552.9299927,521.6699829,,,
UCAL,8/26/2024,167.2799988,167.2799988,,207.9400024,195.9499969,196.5899963,189.7400055,189.7400055,202.8800049,169.8600006,13.42659426,21.28168721,1.542325353
TI,8/26/2024,255.3878174,255.3878174,261.3282166,262.0770264,255.0883026,273.9079285,282.3442993,282.3442993,308.1000061,348.7999878,10.55511661,20.64005608,36.57659608
TEJASNET,8/26/2024,1266.900024,1266.900024,1334.25,1312.849976,1321.5,1318.150024,1341.900024,1341.900024,1265.849976,1279.599976,5.919961998,-0.082883322,1.002443044
GOODLUCK,8/26/2024,919.2963867,919.2963867,1041.796021,1123.279175,1150.656738,1162.896729,1211.806641,1211.806641,1184.75,944,31.81892784,28.8757377,2.687230543
ZUARIIND,8/27/2024,371.0725098,371.0725098,377.6044312,361.5488892,392.6627502,390.6184082,390.6184082,390.6184082,364.3500061,313.8500061,5.267406753,-1.811641522,-15.42084152
MODIRUBBER,8/27/2024,98.01999664,98.01999664,107.8199997,118.5999985,130.4600067,129.4900055,129.4900055,129.4900055,133.9499969,127.0800018,32.10570284,36.6557861,29.64701712
KEC,8/27/2024,864.0999756,864.0999756,868.0499878,900.75,947.3499756,926,926,926,1018.650024,999.2000122,7.163525768,17.88566754,15.63476917
SUNDARMFIN,8/28/2024,4665.5,4665.5,4723.200195,5050.600098,4968.200195,4968.200195,4968.200195,4869.549805,5092.299805,4289.950195,4.373589212,9.1479971,-8.049508192
VSTTILLERS,8/28/2024,4046.775879,4046.775879,4195.233398,4253.810547,4256.000488,4256.000488,4256.000488,4282.028809,4671,4500.799805,5.813342195,15.42522096,11.21939883
